Date,Orders,Cancelled,Sales,Online Orders,Cash Orders,Delivery Orders,Pickup Orders,Online Sales,Cash Sales,Delivery Sales,Pickup Sales,plugins.reports.orders_per_day.titles.ProOrderCount
2026-05-01,4,0,127.40,4,0,4,0,127.40,0.00,127.40,0.00,0
2026-05-02,13,0,344.55,10,3,13,0,274.30,70.25,344.55,0.00,4
2026-05-03,6,0,150.20,5,1,6,0,136.30,13.90,150.20,0.00,1
2026-05-06,4,0,187.60,3,1,4,0,131.90,55.70,187.60,0.00,2
2026-05-07,1,0,31.90,0,1,1,0,0.00,31.90,31.90,0.00,0
2026-05-08,5,0,175.20,4,1,5,0,141.50,33.70,175.20,0.00,1
2026-05-09,6,0,176.00,5,1,6,0,162.10,13.90,176.00,0.00,1
2026-05-10,2,0,66.80,1,1,2,0,34.90,31.90,66.80,0.00,0
