Date,Orders,Cancelled,Sales,Online Orders,Cash Orders,Delivery Orders,Pickup Orders,Online Sales,Cash Sales,Delivery Sales,Pickup Sales,plugins.reports.orders_per_day.titles.ProOrderCount
2026-05-03,3,0,65.50,1,2,3,0,31.20,34.30,65.50,0.00,0
2026-05-04,3,0,80.90,3,0,3,0,80.90,0.00,80.90,0.00,0
2026-05-05,2,1,35.30,2,0,2,0,35.30,0.00,35.30,0.00,1
2026-05-06,6,0,174.10,6,0,6,0,174.10,0.00,174.10,0.00,0
2026-05-07,3,1,95.40,3,0,3,0,95.40,0.00,95.40,0.00,1
2026-05-08,2,0,99.60,2,0,2,0,99.60,0.00,99.60,0.00,0
2026-05-09,6,0,196.50,6,0,6,0,196.50,0.00,196.50,0.00,1
2026-05-10,3,0,115.25,3,0,3,0,115.25,0.00,115.25,0.00,0
