Date,Orders,Cancelled,Sales,Online Orders,Cash Orders,Delivery Orders,Pickup Orders,Online Sales,Cash Sales,Delivery Sales,Pickup Sales,plugins.reports.orders_per_day.titles.ProOrderCount
2026-05-01,24,0,900.62,23,1,24,0,874.42,26.20,900.62,0.00,2
2026-05-02,12,1,416.58,10,2,12,0,348.78,67.80,416.58,0.00,0
2026-05-03,18,3,649.81,17,1,18,0,604.82,44.99,649.81,0.00,2
2026-05-05,11,0,249.10,9,2,9,2,194.40,54.70,245.80,3.30,2
2026-05-06,9,1,267.24,9,0,8,1,267.24,0.00,260.29,6.95,0
2026-05-07,12,1,306.79,11,1,12,0,284.40,22.39,306.79,0.00,3
2026-05-08,13,0,563.56,11,2,13,0,487.28,76.28,563.56,0.00,1
2026-05-09,22,0,628.88,19,3,20,2,534.89,93.99,625.58,3.30,1
2026-05-10,30,2,713.97,30,0,25,5,713.97,0.00,706.47,7.50,1
