Store Name,Store ID,Shop ID,Order Count,Count of Other payments,Sales (excl. VAT),VAT1 on Sales,VAT2 on Sales,VAT3 on Sales,Sales (incl. VAT),Order Error Adjustments (excl. VAT),VAT on Order Error Adjustments,Order Error Adjustments (incl. VAT),Offers on items (excl. VAT),VAT 1 on offers on items,VAT 2 on offers on items,VAT 3 on offers on items,Offers on items (incl. VAT),Offer Redemption Fee,VAT On Offer Redemption Fee,Marketing Adjustment (incl. VAT),Meal Voucher,Price Adjustments (excl. VAT),VAT on Price Adjustments,Price Adjustments (incl. VAT),Delivery Fee (excl VAT),VAT1 on Delivery Fee,VAT2 on Delivery Fee,VAT3 on Delivery Fee,Delivery Fee (incl VAT),Pick and Pack Fee,VAT On Pick And Pack Fee,Bag Fee,Delivery Offer Redemptions (excl. VAT),VAT on Delivery Offer Redemptions,Delivery Offer Redemptions (incl. VAT),Total Order (incl VAT),Cost of Delivery (excl VAT),VAT on cost of delivery,Cost of Delivery (incl VAT),Marketplace Fee before discount (excl VAT),Marketplace Fee discount (excl VAT),Marketplace Fee after discount (excl VAT),VAT on Marketplace fee after discount ,Marketplace Fee after discount (incl VAT),VAT Adjustment,Profit on Delivery Fee,Tips,Other payments (incl VAT),Total payout ,Payout Date,Payout reference ID
GULA - Valencia Ruzafa,,1b3e6cfe-0c98-5eda-89c6-079015067a1d,42,5,1071.94,0,107.16,0,1179.1,0,0,0,-57.97,0,-5.83,0,-63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115.3,0,0,0,-210.45,0,-210.45,-44.2,-254.65,0,0,0,-26.25,834.4,5/4/26,V375U9QCNGPQ
GULA - Valencia Ruzafa,,1b3e6cfe-0c98-5eda-89c6-079015067a1d,27,6,701.93,0,70.17,0,772.1,0,0,0,-42.16,0,-4.24,0,-46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.7,0,0,0,-136.2,0,-136.2,-28.62,-164.82,0,0,0,-8.12,552.76,5/11/26,70IRBGMR74FB
GULA - Móstoles,,0e2beda7-e867-5f1f-a4f7-fc2a477559a4,24,6,602.56,0,60.23,0,662.79,0,0,0,-37.19,0,-3.72,0,-40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.81,0,-17.81,604.07,0,0,0,-117.08,0,-117.08,-24.59,-141.67,0,0,0,-53.07,409.33,5/4/26,O2MENH8WZNBXBSW
GULA - Móstoles,,0e2beda7-e867-5f1f-a4f7-fc2a477559a4,41,6,1057.88,0,105.78,0,1163.66,-18.02,-1.8,-19.82,-94.75,0,-9.49,0,-104.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.26,0,-42.26,997.34,0,0,0,-198.41,0,-198.41,-41.68,-240.09,0,0,0,-68.39,688.86,5/11/26,T9TKWJRM1N2XDNR
GULA - Sevilla,,46eadb60-99e8-5077-bd3e-0df76c71ccac,13,7,344.65,0,34.45,0,379.1,0,0,0,-82.63,0,-8.25,0,-90.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.22,0,0,0,-51.89,0,-51.89,-10.89,-62.78,0,0,0,-141.01,84.43,5/4/26,NRT5OPVZURLWUX9
GULA - Sevilla,,46eadb60-99e8-5077-bd3e-0df76c71ccac,21,6,612.1,0,61.2,0,673.3,-3.2,-0.32,-3.52,-124.47,0,-12.41,0,-136.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9,0,0,0,-98.45,0,-98.45,-20.69,-119.14,0,0,0,-108.2,305.56,5/11/26,RMTBYKJ3HNPVV3B
GULA - Cartagena,,742103f3-6a55-5738-86dd-9901b0f26beb,16,1,490.31,0,48.99,0,539.3,-26.95,-2.71,-29.66,-105.34,0,-10.49,0,-115.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.81,0,0,0,-79.66,0,-79.66,-16.73,-96.39,0,0,0,-22.31,275.11,5/4/26,0A2KV5VLQ9BN
GULA - Cartagena,,742103f3-6a55-5738-86dd-9901b0f26beb,25,7,848.74,0,84.86,0,933.6,0,0,0,-165.06,0,-16.5,0,-181.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.65,0,-8.65,743.39,0,0,0,-143.14,0,-143.14,-30.07,-173.21,0,0,0,-386.34,183.84,5/11/26,LFCO3G2UNLVS
