Date,Orders,Cancelled,Sales,Online Orders,Cash Orders,Delivery Orders,Pickup Orders,Online Sales,Cash Sales,Delivery Sales,Pickup Sales,plugins.reports.orders_per_day.titles.ProOrderCount
2026-05-01,5,0,153.40,5,0,5,0,153.40,0.00,153.40,0.00,2
2026-05-02,13,0,339.40,11,2,13,0,304.80,34.60,339.40,0.00,2
2026-05-03,13,0,419.00,13,0,13,0,419.00,0.00,419.00,0.00,2
2026-05-05,4,0,92.30,3,1,4,0,69.10,23.20,92.30,0.00,1
2026-05-06,3,0,75.10,2,1,3,0,60.20,14.90,75.10,0.00,0
2026-05-07,1,0,15.90,1,0,1,0,15.90,0.00,15.90,0.00,1
2026-05-08,5,0,141.20,5,0,5,0,141.20,0.00,141.20,0.00,1
2026-05-09,7,0,93.40,7,0,3,4,93.40,0.00,83.00,10.40,1
2026-05-10,8,0,142.75,8,0,6,2,142.75,0.00,134.00,8.75,0
