Platform,Store,Sales,Orders,Commission,Net Payout
Glovo,GULA - CAA - Calle Jimenez de la Espada,4865.6,159,1296.75,3568.85
Uber Eats,GULA - Valencia Ruzafa,1632.5,64,-352.1600000000001,1176.72
Uber Eats,GULA - Cartagena,1472.8999999999999,52,-269.59999999999997,409.0400000000002
Glovo,GULA - VAL - Calle Cadis,1472.45,59,269.28999999999996,1203.1599999999999
Uber Eats,GULA - Móstoles,1406.12,61,-291.43,832.03
Glovo,GULA - SEV - Calle Chucena,1259.65,41,310.7,948.9499999999999
Glovo,GULA - MOS - Calle Río Segura,980.95,30,186.73999999999998,794.21
Uber Eats,GULA - Sevilla,950.5999999999999,40,-166.01,370.34
