Campaign UUID,Campaign Name,Store name,Store address,Status,Start Date,End date,Timezone,Audience targeted,Budget,Budget currency,Budget unit,Ad sales (EUR),Ad spend (EUR),ROAS,Average cost per click (EUR),Average cost per order (EUR),Impressions,Clicks,Orders,Click through rate,Click to order rate,Average order value (EUR)
364ef341-97f9-5be6-afc6-861f14c47811,Ad Campaign 11/29/2025,GULA - Cartagena,"Calle Jiménez de la Espada 17, Cartagena, ES",ACTIVE,11/29/2025,Ongoing,Europe/Madrid,,33.00,EUR,DAILY,1307.40,270.40,4.84,0.70,7.51,7842,388,36,0.05,0.09,36.32
f9d2d2cc-2dbe-5327-8c52-9671cbd2ee18,Ad Campaign 10/25/2025,GULA - Cartagena,"Calle Jiménez de la Espada 17, Cartagena, ES",PAUSED,10/25/2025,Ongoing,Europe/Madrid,,22.00,EUR,DAILY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
df3167e5-7096-591e-ae99-4d71ddd0a7b8,Ad Campaign 11/08/2025 - 1,GULA - Cartagena,"Calle Jiménez de la Espada 17, Cartagena, ES",PAUSED,11/8/2025,Ongoing,Europe/Madrid,,66.00,EUR,DAILY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
8db09a53-accd-51d5-99fa-42e9d62fa137,Ad Campaign 12/07/2025,GULA - Cartagena,"Calle Jiménez de la Espada 17, Cartagena, ES",PAUSED,12/7/2025,Ongoing,Europe/Madrid,,26.00,EUR,DAILY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
87e7a3c9-f3d7-5886-bcfb-a6d9a5d54155,IS-Ads-campaign,GULA - Cartagena,"Calle Jiménez de la Espada 17, Cartagena, ES",PAUSED,11/24/2024,Ongoing,Europe/Madrid,,84.00,EUR,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
