Campaign UUID,Campaign Name,Store name,Store address,Status,Start Date,End date,Timezone,Audience targeted,Budget,Budget currency,Budget unit,Ad sales (EUR),Ad spend (EUR),ROAS,Average cost per click (EUR),Average cost per order (EUR),Impressions,Clicks,Orders,Click through rate,Click to order rate,Average order value (EUR)
a6242e01-a877-51fe-b503-d5916b622ff7,Ad Campaign 02/14/2026,GULA - Sevilla,"Calle Chucena 34, Sevilla, ES",ACTIVE,2/14/2026,Ongoing,Europe/Madrid,,36.00,EUR,DAILY,778.30,217.35,3.58,0.37,9.06,12013,591,24,0.05,0.04,32.43
41bf2bda-b0ef-5be7-9547-4c26feb7aa72,IS-Ads-campaign,GULA - Sevilla,"Calle Chucena 34, Sevilla, ES",PAUSED,11/24/2024,Ongoing,Europe/Madrid,ALL,49.00,EUR,WEEKLY,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
